TimeInMinute,Year,Month,Day,Hour,Minute,Weekend,LocalTime,High,Low,Open,Close,VolumeFrom,VolumeTo
0,2023,01,24,21,44,0,01:14,23002.21,22993.33,23000.68,22996.47,19.59,450492.17
1,2023,01,24,21,45,0,01:15,22998.16,22986.56,22996.47,22987.18,24.94,573394.26
2,2023,01,24,21,46,0,01:16,22989.93,22977.85,22987.18,22980.14,52.75,1212351.21
3,2023,01,24,21,47,0,01:17,22980.84,22966.35,22980.14,22968.8,70.44,1617834.93
4,2023,01,24,21,48,0,01:18,22969.29,22945.34,22968.8,22956.67,108.61,2493143.66
5,2023,01,24,21,49,0,01:19,22972.86,22951.88,22956.67,22968.39,51.68,1186848.65
6,2023,01,24,21,50,0,01:20,22975.17,22967.37,22968.39,22972.24,43.52,999653.53
7,2023,01,24,21,51,0,01:21,22972.66,22966.13,22972.24,22969.75,21.85,501764.07
8,2023,01,24,21,52,0,01:22,22970.87,22952.56,22969.75,22955.54,45.64,1047744.54
9,2023,01,24,21,53,0,01:23,22958.28,22911.91,22955.54,22918.25,159.22,3650759.66
10,2023,01,24,21,54,0,01:24,22918.25,22838.76,22918.25,22862.21,434.82,9936367.77
11,2023,01,24,21,55,0,01:25,22870.94,22847.23,22862.21,22860.94,174.06,3978935.0
12,2023,01,24,21,56,0,01:26,22901.79,22857.43,22860.94,22899.8,112.71,2580259.78
13,2023,01,24,21,57,0,01:27,22916.53,22893.26,22899.8,22903.98,66.13,1514728.87
14,2023,01,24,21,58,0,01:28,22914.63,22898.73,22903.98,22902.02,74.64,1709706.37
15,2023,01,24,21,59,0,01:29,22916.42,22896.64,22902.02,22907.73,68.68,1573309.23
16,2023,01,24,22,00,0,01:30,22908.64,22877.48,22907.73,22882.33,65.79,1506041.78
17,2023,01,24,22,01,0,01:31,22889.4,22852.67,22882.33,22863.44,116.17,2656048.45
18,2023,01,24,22,02,0,01:32,22900.8,22863.44,22863.44,22897.05,73.5,1682427.31
19,2023,01,24,22,03,0,01:33,22916.05,22894.25,22897.05,22913.13,75.61,1732298.19
20,2023,01,24,22,04,0,01:34,22921.27,22910.14,22913.13,22918.44,58.19,1333672.61
21,2023,01,24,22,05,0,01:35,22923.77,22912.66,22918.44,22914.67,89.26,2045761.24
22,2023,01,24,22,06,0,01:36,22921.11,22902.45,22914.67,22904.69,63.69,1459291.78
23,2023,01,24,22,07,0,01:37,22907.4,22890.73,22904.69,22896.15,47.35,1084000.43
24,2023,01,24,22,08,0,01:38,22896.15,22882.13,22896.15,22892.4,74.05,1694723.89
25,2023,01,24,22,09,0,01:39,22900.69,22887.73,22892.4,22893.45,61.45,1406798.25
26,2023,01,24,22,10,0,01:40,22893.45,22878.53,22893.45,22881.99,36.4,832877.6
27,2023,01,24,22,11,0,01:41,22882.2,22862.52,22881.99,22864.2,106.52,2436256.52
28,2023,01,24,22,12,0,01:42,22879.3,22847.87,22864.2,22857.98,175.83,4019415.05
29,2023,01,24,22,13,0,01:43,22885.9,22857.74,22857.98,22885.9,69.62,1592648.23
30,2023,01,24,22,14,0,01:44,22903.3,22884.34,22885.9,22899.31,86.31,1976309.56
31,2023,01,24,22,15,0,01:45,22899.52,22879.79,22899.31,22889.89,78.99,1808214.25
32,2023,01,24,22,16,0,01:46,22908.79,22887.0,22889.89,22908.77,44.17,1011565.72
33,2023,01,24,22,17,0,01:47,22913.96,22902.35,22908.77,22912.02,36.84,844065.77
34,2023,01,24,22,18,0,01:48,22913.18,22903.17,22912.02,22903.18,43.93,1006315.69
35,2023,01,24,22,19,0,01:49,22904.29,22889.07,22903.18,22891.23,55.09,1261306.69
36,2023,01,24,22,20,0,01:50,22894.23,22885.0,22891.23,22894.1,45.03,1030795.16
37,2023,01,24,22,21,0,01:51,22901.35,22887.28,22894.1,22887.28,44.29,1013959.37
38,2023,01,24,22,22,0,01:52,22888.16,22875.16,22887.28,22875.16,53.29,1219285.82
39,2023,01,24,22,23,0,01:53,22880.7,22871.77,22875.16,22878.61,20.5,468943.01
40,2023,01,24,22,24,0,01:54,22882.18,22875.45,22878.61,22879.82,11.76,269039.2
41,2023,01,24,22,25,0,01:55,22884.03,22864.49,22879.82,22864.49,50.3,1150674.36
42,2023,01,24,22,26,0,01:56,22867.91,22829.51,22864.49,22830.52,138.22,3157375.75
43,2023,01,24,22,27,0,01:57,22850.01,22740.03,22830.52,22749.23,382.84,8721706.12
44,2023,01,24,22,28,0,01:58,22762.63,22697.72,22749.23,22703.99,412.81,9377114.93
45,2023,01,24,22,29,0,01:59,22731.13,22689.36,22703.99,22713.16,347.01,7879989.52
46,2023,01,24,22,30,0,02:00,22754.44,22700.63,22713.16,22749.83,206.15,4683932.39
47,2023,01,24,22,31,0,02:01,22773.53,22746.47,22749.83,22756.39,107.59,2448925.13
48,2023,01,24,22,32,0,02:02,22804.34,22752.98,22756.39,22800.64,159.59,3636674.47
49,2023,01,24,22,33,0,02:03,22812.62,22800.0,22800.64,22809.08,85.31,1945708.92
50,2023,01,24,22,34,0,02:04,22828.58,22796.74,22809.08,22796.74,221.89,5061743.68
51,2023,01,24,22,35,0,02:05,22822.23,22795.3,22796.74,22804.79,112.51,2566691.64
